Student_ID,Name,Email,Preferred_Domain,JEE_Score,Admission_Enquiry
STU00044,Gaurav Jani,gaurav.jani@college.edu,Cyber_Security,50,BTech
STU00045,Raagini Sachdeva,raagini.sachdeva@college.edu,Mechanical,235,BTech
STU00046,Kevin Chakrabarti,kevin.chakrabarti@college.edu,Aeronautical_Engineering,147,MTech
STU00047,Eta Sachdeva,eta.sachdeva@college.edu,Civil_Engineering,288,MTech
STU00048,Faraj Wali,faraj.wali@college.edu,Aeronautical_Engineering,247,BTech
STU00049,Bhavini Deshpande,bhavini.deshpande@college.edu,Cyber_Security,133,BTech
STU00050,Dayita Mander,dayita.mander@college.edu,AI_ML,108,BTech
STU00051,Ganga Gour,ganga.gour@college.edu,Electronics,121,BTech
STU00052,Suhani Mammen,suhani.mammen@college.edu,Civil_Engineering,152,BTech
STU00053,Chatura Rama,chatura.rama@college.edu,Electronics,177,BTech
STU00054,Ubika Saini,ubika.saini@college.edu,Mechanical,112,BTech
STU00055,Maya Mistry,maya.mistry@college.edu,IT,154,BTech
STU00056,Hitesh Nath,hitesh.nath@college.edu,Mechanical,119,BTech
STU00057,Megha Lalla,megha.lalla@college.edu,IT,266,BTech
STU00058,Vincent Hayre,vincent.hayre@college.edu,Aeronautical_Engineering,36,MTech
STU00059,Krisha Bora,krisha.bora@college.edu,Mechanical,142,BTech
STU00060,Dipta Nagarajan,dipta.nagarajan@college.edu,Cyber_Security,73,BTech
STU00061,Lipika Puri,lipika.puri@college.edu,Cyber_Security,36,BTech
STU00062,Anvi Kala,anvi.kala@college.edu,AI_ML,143,BTech
STU00063,Dhruv Bala,dhruv.bala@college.edu,Data_Science,85,BTech
STU00064,Jackson Thaker,jackson.thaker@college.edu,Computer_Science,141,BTech
STU00065,Advik Ghosh,advik.ghosh@college.edu,AI_ML,179,MTech
STU00066,Yachana Mann,yachana.mann@college.edu,IT,117,MTech
STU00067,Qadim Mall,qadim.mall@college.edu,AI_ML,115,BTech
STU00068,Radhika Chaudhari,radhika.chaudhari@college.edu,Electronics,124,BTech
STU00069,Ganga Gulati,ganga.gulati@college.edu,Computer_Science,173,BTech
STU00070,Anmol Modi,anmol.modi@college.edu,Data_Science,122,BTech
STU00071,Nidra Suresh,nidra.suresh@college.edu,Aeronautical_Engineering,255,BTech
STU00072,Wriddhish Sampath,wriddhish.sampath@college.edu,Cyber_Security,96,BTech
STU00073,Alexander Sehgal,alexander.sehgal@college.edu,Electronics,74,BTech
STU00074,Manthan Mann,manthan.mann@college.edu,Aeronautical_Engineering,41,BTech
STU00075,Chatura Sabharwal,chatura.sabharwal@college.edu,Civil_Engineering,169,BTech
STU00076,Karan Mistry,karan.mistry@college.edu,AI_ML,84,MTech
STU00077,Pooja Mistry,pooja.mistry@college.edu,Aeronautical_Engineering,129,BTech
STU00078,Warhi Bobal,warhi.bobal@college.edu,Aeronautical_Engineering,55,BTech
STU00079,Hritik Vala,hritik.vala@college.edu,IT,129,BTech
STU00080,Vedika Sehgal,vedika.sehgal@college.edu,Mechanical,165,MTech
STU00081,Chakradhar Sidhu,chakradhar.sidhu@college.edu,Civil_Engineering,137,BTech
STU00082,Aashi Sampath,aashi.sampath@college.edu,Computer_Science,123,BTech
STU00083,Ishanvi Samra,ishanvi.samra@college.edu,Aeronautical_Engineering,126,BTech
STU00084,Neelima Seth,neelima.seth@college.edu,Aeronautical_Engineering,245,MTech
STU00085,Idika Iyer,idika.iyer@college.edu,Cyber_Security,125,BTech
STU00086,William Saraf,william.saraf@college.edu,Civil_Engineering,162,MTech
STU00087,Mitesh Sur,mitesh.sur@college.edu,Mechanical,229,BTech
STU00088,Kala Sridhar,kala.sridhar@college.edu,AI_ML,45,BTech
STU00089,Jasmit Choudhry,jasmit.choudhry@college.edu,Electronics,65,BTech
STU00090,Balhaar Khosla,balhaar.khosla@college.edu,IT,174,BTech
STU00091,Nathaniel Pingle,nathaniel.pingle@college.edu,Civil_Engineering,209,BTech
STU00092,Ekalinga Sarraf,ekalinga.sarraf@college.edu,Computer_Science,97,BTech
STU00093,Manbir Mammen,manbir.mammen@college.edu,AI_ML,120,BTech
STU00094,Chandran Dhillon,chandran.dhillon@college.edu,IT,73,BTech
STU00095,Udant Dara,udant.dara@college.edu,Mechanical,169,BTech
STU00096,Ansh Lal,ansh.lal@college.edu,Aeronautical_Engineering,257,BTech
STU00097,Indali Jayaraman,indali.jayaraman@college.edu,Data_Science,146,MTech
STU00098,Rudra Sachdeva,rudra.sachdeva@college.edu,Cyber_Security,157,MTech
STU00099,Raagini Chakraborty,raagini.chakraborty@college.edu,Computer_Science,185,BTech
STU00100,Ojasvi Arora,ojasvi.arora@college.edu,Data_Science,191,BTech
STU00101,Isaac Chakraborty,isaac.chakraborty@college.edu,IT,86,MTech
STU00102,Riya Modi,riya.modi@college.edu,Electronics,174,MTech
STU00103,Rachita Sarin,rachita.sarin@college.edu,IT,58,BTech
STU00104,Suhani Krishnan,suhani.krishnan@college.edu,IT,43,BTech
STU00105,Hitesh Radhakrishnan,hitesh.radhakrishnan@college.edu,Data_Science,82,BTech
STU00106,Christopher Narula,christopher.narula@college.edu,Aeronautical_Engineering,59,BTech
STU00107,Abha Pillay,abha.pillay@college.edu,Computer_Science,142,BTech
STU00108,Radhika Subramaniam,radhika.subramaniam@college.edu,Mechanical,70,BTech
STU00109,Libni Nori,libni.nori@college.edu,Aeronautical_Engineering,296,BTech
STU00110,Yahvi Bhatti,yahvi.bhatti@college.edu,Mechanical,50,BTech
STU00111,Ekani Brar,ekani.brar@college.edu,IT,133,BTech
STU00112,Nimrat Brahmbhatt,nimrat.brahmbhatt@college.edu,IT,62,BTech
STU00113,Abha Barman,abha.barman@college.edu,AI_ML,161,BTech
STU00114,Sneha Raja,sneha.raja@college.edu,Cyber_Security,94,MTech
STU00115,Yauvani Oommen,yauvani.oommen@college.edu,Aeronautical_Engineering,128,MTech
STU00116,Aishani Munshi,aishani.munshi@college.edu,Mechanical,181,BTech
STU00117,Jai Pant,jai.pant@college.edu,AI_ML,175,BTech
STU00118,Maanas Rama,maanas.rama@college.edu,Cyber_Security,253,BTech
STU00119,Yadavi Bajaj,yadavi.bajaj@college.edu,Mechanical,86,MTech
STU00120,Yashodhara Viswanathan,yashodhara.viswanathan@college.edu,Mechanical,136,BTech
STU00121,Ubika Srinivas,ubika.srinivas@college.edu,Data_Science,120,BTech
STU00122,Krish Prakash,krish.prakash@college.edu,IT,299,BTech
STU00123,Lucky Chauhan,lucky.chauhan@college.edu,IT,179,BTech
STU00124,Guneet Mital,guneet.mital@college.edu,AI_ML,242,BTech
STU00125,Bhavani Sekhon,bhavani.sekhon@college.edu,Mechanical,54,MTech
STU00126,Lucky Ravel,lucky.ravel@college.edu,Aeronautical_Engineering,71,BTech
STU00127,Chakradhar Ravel,chakradhar.ravel@college.edu,Data_Science,169,BTech
STU00128,Charvi Upadhyay,charvi.upadhyay@college.edu,Mechanical,141,BTech
STU00129,Tanveer Parekh,tanveer.parekh@college.edu,Aeronautical_Engineering,69,BTech
STU00130,Nidra Garde,nidra.garde@college.edu,Aeronautical_Engineering,190,BTech
STU00131,Rushil Shukla,rushil.shukla@college.edu,AI_ML,79,BTech
STU00132,Vivaan Malhotra,vivaan.malhotra@college.edu,Cyber_Security,59,BTech
STU00133,Gaurav Muni,gaurav.muni@college.edu,Data_Science,296,BTech
STU00134,Vyanjana Dasgupta,vyanjana.dasgupta@college.edu,Computer_Science,82,BTech
STU00135,Urishilla Ben,urishilla.ben@college.edu,Civil_Engineering,177,BTech
STU00136,Abhimanyu Venkatesh,abhimanyu.venkatesh@college.edu,Data_Science,173,MTech
STU00137,Nilima Dash,nilima.dash@college.edu,Aeronautical_Engineering,60,BTech
STU00138,Indira Sarma,indira.sarma@college.edu,Aeronautical_Engineering,75,BTech
STU00139,Shivani Bhargava,shivani.bhargava@college.edu,IT,149,BTech
STU00140,Bhanumati Magar,bhanumati.magar@college.edu,Computer_Science,145,BTech
STU00141,Saanvi Dugar,saanvi.dugar@college.edu,Electronics,126,BTech
STU00142,Vritti Kaul,vritti.kaul@college.edu,Data_Science,84,BTech
STU00143,Vanya Nayar,vanya.nayar@college.edu,Electronics,284,BTech
STU00144,Ridhi Barad,ridhi.barad@college.edu,AI_ML,98,BTech
STU00145,Keya Patla,keya.patla@college.edu,Aeronautical_Engineering,111,BTech
STU00146,Dipta Parekh,dipta.parekh@college.edu,Computer_Science,75,BTech
STU00147,Elijah Agrawal,elijah.agrawal@college.edu,Civil_Engineering,179,MTech
STU00148,Andrew Suri,andrew.suri@college.edu,Mechanical,86,BTech
STU00149,Veda Vig,veda.vig@college.edu,AI_ML,162,BTech
STU00150,Ekiya Swamy,ekiya.swamy@college.edu,Civil_Engineering,158,BTech
STU00151,Amol Naik,amol.naik@college.edu,Computer_Science,64,BTech
STU00152,Prisha Suri,prisha.suri@college.edu,Aeronautical_Engineering,120,MTech
STU00153,Falak Chowdhury,falak.chowdhury@college.edu,AI_ML,139,BTech
STU00154,Oviya Aggarwal,oviya.aggarwal@college.edu,Cyber_Security,219,BTech
STU00155,Harinakshi Khatri,harinakshi.khatri@college.edu,Cyber_Security,66,BTech
STU00156,Aashi Sarin,aashi.sarin@college.edu,Civil_Engineering,130,MTech
STU00157,Barkha Johal,barkha.johal@college.edu,Cyber_Security,130,BTech
STU00158,Bahadurjit Sachdeva,bahadurjit.sachdeva@college.edu,Mechanical,101,BTech
STU00159,Janani Pillai,janani.pillai@college.edu,Computer_Science,132,BTech
STU00160,Andrew Bhakta,andrew.bhakta@college.edu,Civil_Engineering,84,BTech
STU00161,Azaan Oak,azaan.oak@college.edu,Computer_Science,147,MTech
STU00162,Harinakshi Guha,harinakshi.guha@college.edu,Data_Science,159,BTech
STU00163,Ijaya Bandi,ijaya.bandi@college.edu,Aeronautical_Engineering,145,BTech
STU00164,Hamsini Balan,hamsini.balan@college.edu,Data_Science,139,BTech
STU00165,Waida Handa,waida.handa@college.edu,Electronics,78,MTech
STU00166,Vrinda Modi,vrinda.modi@college.edu,AI_ML,152,BTech
STU00167,Kala Gade,kala.gade@college.edu,Cyber_Security,96,BTech
STU00168,Abeer Chanda,abeer.chanda@college.edu,Cyber_Security,100,MTech
STU00169,Wishi Lala,wishi.lala@college.edu,Electronics,61,BTech
STU00170,Parth Mukherjee,parth.mukherjee@college.edu,Cyber_Security,169,MTech
STU00171,Luke Oommen,luke.oommen@college.edu,Data_Science,38,MTech
STU00172,Gauri Dutta,gauri.dutta@college.edu,Aeronautical_Engineering,63,BTech
STU00173,Anay Mistry,anay.mistry@college.edu,IT,190,MTech
STU00174,Timothy Korpal,timothy.korpal@college.edu,IT,133,BTech
STU00175,Zinal Mannan,zinal.mannan@college.edu,Aeronautical_Engineering,57,BTech
STU00176,Bakhshi Barad,bakhshi.barad@college.edu,Aeronautical_Engineering,265,BTech
STU00177,Chaitanya Arya,chaitanya.arya@college.edu,Computer_Science,94,BTech
STU00178,Watika Khanna,watika.khanna@college.edu,AI_ML,153,BTech
STU00179,Wakeeta Dhillon,wakeeta.dhillon@college.edu,Cyber_Security,148,BTech
STU00180,Zilmil Sanghvi,zilmil.sanghvi@college.edu,Computer_Science,250,BTech
STU00181,Saksham Chaudry,saksham.chaudry@college.edu,IT,218,BTech
STU00182,Abhimanyu Murthy,abhimanyu.murthy@college.edu,IT,160,BTech
STU00183,Aarna Mitter,aarna.mitter@college.edu,Data_Science,108,MTech
STU00184,Yagnesh Narayan,yagnesh.narayan@college.edu,Civil_Engineering,63,BTech
STU00185,Logan Wali,logan.wali@college.edu,Computer_Science,143,BTech
STU00186,Eiravati Nanda,eiravati.nanda@college.edu,Aeronautical_Engineering,197,BTech
STU00187,Ishaan Barad,ishaan.barad@college.edu,Computer_Science,133,BTech
STU00188,Vansha Pillai,vansha.pillai@college.edu,Civil_Engineering,48,BTech
STU00189,Ekaja Mangat,ekaja.mangat@college.edu,Aeronautical_Engineering,150,MTech
STU00190,Samar Ray,samar.ray@college.edu,Mechanical,137,MTech
STU00191,Ria Basak,ria.basak@college.edu,Mechanical,66,BTech
STU00192,Advik Keer,advik.keer@college.edu,Aeronautical_Engineering,107,BTech
STU00193,Chaitanya Oak,chaitanya.oak@college.edu,Electronics,262,BTech
STU00194,Veda Bhavsar,veda.bhavsar@college.edu,Cyber_Security,200,BTech
STU00195,Meera Bhardwaj,meera.bhardwaj@college.edu,Electronics,135,MTech
STU00196,Kabir Malhotra,kabir.malhotra@college.edu,Data_Science,101,BTech
STU00197,Vrishti Dhar,vrishti.dhar@college.edu,Computer_Science,117,BTech
STU00198,Omkaar Ramachandran,omkaar.ramachandran@college.edu,IT,65,BTech
STU00199,Bahadurjit Bail,bahadurjit.bail@college.edu,AI_ML,120,BTech
STU00200,Tripti Choudhry,tripti.choudhry@college.edu,Civil_Engineering,224,BTech
STU00201,Rayaan Grover,rayaan.grover@college.edu,Electronics,190,BTech
STU00202,Idika Patla,idika.patla@college.edu,IT,253,BTech
STU00203,Xiti Reddy,xiti.reddy@college.edu,Civil_Engineering,150,BTech
STU00204,Inaya Raj,inaya.raj@college.edu,Electronics,143,BTech
STU00205,Hardik Kapoor,hardik.kapoor@college.edu,Civil_Engineering,74,BTech
STU00206,Orinder Barad,orinder.barad@college.edu,Data_Science,45,BTech
STU00207,Lakshit Devan,lakshit.devan@college.edu,Aeronautical_Engineering,132,BTech
STU00208,Gaurangi Baria,gaurangi.baria@college.edu,Electronics,162,BTech
STU00209,Udant Mody,udant.mody@college.edu,Mechanical,95,BTech
STU00210,Arunima Barad,arunima.barad@college.edu,Cyber_Security,89,BTech
STU00211,Krishna Kata,krishna.kata@college.edu,Computer_Science,86,BTech
STU00212,Nirja Bhandari,nirja.bhandari@college.edu,Electronics,230,MTech
STU00213,Yashawini Suri,yashawini.suri@college.edu,Computer_Science,124,MTech
STU00214,Ishwar Soni,ishwar.soni@college.edu,IT,141,BTech
STU00215,Zaid Sodhi,zaid.sodhi@college.edu,IT,172,BTech
STU00216,Vaishnavi Hayre,vaishnavi.hayre@college.edu,Computer_Science,254,MTech
STU00217,Aadhya Kibe,aadhya.kibe@college.edu,Civil_Engineering,31,BTech
STU00218,Ayaan Varma,ayaan.varma@college.edu,Electronics,139,BTech
STU00219,Luke Sarma,luke.sarma@college.edu,Cyber_Security,288,BTech
STU00220,Hamsini Agarwal,hamsini.agarwal@college.edu,IT,205,BTech
STU00221,Benjamin Apte,benjamin.apte@college.edu,Cyber_Security,90,BTech
STU00222,Jeet Kothari,jeet.kothari@college.edu,Mechanical,92,MTech
STU00223,Leena Patel,leena.patel@college.edu,Data_Science,113,MTech
STU00224,Kamala Chatterjee,kamala.chatterjee@college.edu,Data_Science,122,BTech
STU00225,Manan Apte,manan.apte@college.edu,Civil_Engineering,64,BTech
STU00226,Gunbir Pandya,gunbir.pandya@college.edu,IT,56,BTech
STU00227,Faraj Memon,faraj.memon@college.edu,Computer_Science,54,BTech
STU00228,Rachana Hayre,rachana.hayre@college.edu,Aeronautical_Engineering,175,BTech
STU00229,Gautam Ben,gautam.ben@college.edu,Electronics,105,BTech
STU00230,Neelima Mander,neelima.mander@college.edu,AI_ML,180,MTech
STU00231,Lucky Dua,lucky.dua@college.edu,Data_Science,151,BTech
STU00232,Tara Dutta,tara.dutta@college.edu,Civil_Engineering,79,BTech
STU00233,Jatin Srinivasan,jatin.srinivasan@college.edu,Data_Science,52,BTech
STU00234,Anya Jani,anya.jani@college.edu,Electronics,169,BTech
STU00235,Charan Barad,charan.barad@college.edu,Computer_Science,158,BTech
STU00236,Yashica Hayre,yashica.hayre@college.edu,Electronics,129,BTech
STU00237,Amrita Rastogi,amrita.rastogi@college.edu,Data_Science,133,BTech
STU00238,Dominic Narasimhan,dominic.narasimhan@college.edu,Mechanical,121,BTech
STU00239,Umang Kibe,umang.kibe@college.edu,AI_ML,153,MTech
STU00240,Manan Ganesan,manan.ganesan@college.edu,AI_ML,193,BTech
STU00241,Megha Narasimhan,megha.narasimhan@college.edu,IT,63,BTech
STU00242,Zayyan Patil,zayyan.patil@college.edu,Aeronautical_Engineering,133,BTech
STU00243,Anita Ghosh,anita.ghosh@college.edu,Computer_Science,120,MTech
STU00244,Sudiksha Sheth,sudiksha.sheth@college.edu,AI_ML,135,MTech
STU00245,Advika Dey,advika.dey@college.edu,Cyber_Security,37,BTech
STU00246,Vivaan Dani,vivaan.dani@college.edu,Cyber_Security,124,MTech
STU00247,Dakshesh Suresh,dakshesh.suresh@college.edu,Civil_Engineering,120,BTech
STU00248,Naveen Ahluwalia,naveen.ahluwalia@college.edu,Electronics,130,BTech
STU00249,Arin Bal,arin.bal@college.edu,Cyber_Security,177,MTech
STU00250,Mahika Kibe,mahika.kibe@college.edu,AI_ML,92,BTech
STU00251,Atharv Kapoor,atharv.kapoor@college.edu,Computer_Science,121,BTech
STU00252,Anirudh Kala,anirudh.kala@college.edu,Electronics,173,MTech
STU00253,Janaki Bora,janaki.bora@college.edu,Civil_Engineering,66,BTech
STU00254,Akshay Chad,akshay.chad@college.edu,Electronics,69,BTech
STU00255,Hemang Bhardwaj,hemang.bhardwaj@college.edu,Civil_Engineering,168,MTech
STU00256,Saksham Sarma,saksham.sarma@college.edu,AI_ML,163,BTech
STU00257,Wazir Narayanan,wazir.narayanan@college.edu,Civil_Engineering,49,BTech
STU00258,Tara Rajagopal,tara.rajagopal@college.edu,Aeronautical_Engineering,144,MTech
STU00259,Gaurangi Dugar,gaurangi.dugar@college.edu,IT,176,BTech
STU00260,Bahadurjit Oza,bahadurjit.oza@college.edu,AI_ML,146,BTech
STU00261,Krish Sibal,krish.sibal@college.edu,Civil_Engineering,99,BTech
STU00262,Gautami Chadha,gautami.chadha@college.edu,Aeronautical_Engineering,239,BTech
STU00263,Eiravati Keer,eiravati.keer@college.edu,Data_Science,150,BTech
STU00264,Dev Garde,dev.garde@college.edu,Civil_Engineering,88,BTech
STU00265,Maanas Bassi,maanas.bassi@college.edu,IT,111,MTech
STU00266,Aachal Bose,aachal.bose@college.edu,IT,140,MTech
STU00267,Unnati Nagarajan,unnati.nagarajan@college.edu,AI_ML,170,MTech
STU00268,Tamanna Sahota,tamanna.sahota@college.edu,Computer_Science,71,BTech
STU00269,Azaan Ray,azaan.ray@college.edu,Aeronautical_Engineering,216,BTech
STU00270,Hema Sengupta,hema.sengupta@college.edu,Mechanical,141,BTech
STU00271,Warinder Kala,warinder.kala@college.edu,Mechanical,288,BTech
STU00272,Ryan Wali,ryan.wali@college.edu,Data_Science,139,BTech
STU00273,Veer Gokhale,veer.gokhale@college.edu,IT,116,MTech
STU00274,Lavanya Dara,lavanya.dara@college.edu,Data_Science,49,MTech
STU00275,Ekanta Kunda,ekanta.kunda@college.edu,Computer_Science,147,BTech
STU00276,Aditya Sama,aditya.sama@college.edu,Aeronautical_Engineering,162,BTech
STU00277,Umang Contractor,umang.contractor@college.edu,Aeronautical_Engineering,278,BTech
STU00278,Aarini Walla,aarini.walla@college.edu,AI_ML,146,BTech
STU00279,Lavanya Mangat,lavanya.mangat@college.edu,IT,290,BTech
STU00280,Harini Nadig,harini.nadig@college.edu,IT,92,BTech
STU00281,Abdul Lal,abdul.lal@college.edu,Electronics,284,MTech
STU00282,Neelima Saini,neelima.saini@college.edu,Mechanical,177,BTech
STU00283,Vanya Vohra,vanya.vohra@college.edu,Computer_Science,34,BTech
STU00284,Samesh Borde,samesh.borde@college.edu,Cyber_Security,130,BTech
STU00285,Gaurav Sharaf,gaurav.sharaf@college.edu,AI_ML,187,BTech
STU00286,Indali Bhandari,indali.bhandari@college.edu,IT,218,BTech
STU00287,Gunbir Khatri,gunbir.khatri@college.edu,IT,140,BTech
STU00288,Vidhi Sengupta,vidhi.sengupta@college.edu,IT,70,MTech
STU00289,Kashvi Gill,kashvi.gill@college.edu,Computer_Science,30,BTech
STU00290,Naksh Bali,naksh.bali@college.edu,Computer_Science,296,BTech
STU00291,Vrishti Varma,vrishti.varma@college.edu,IT,167,BTech
STU00292,Nitesh Mangal,nitesh.mangal@college.edu,Cyber_Security,271,BTech
STU00293,Eesha Brahmbhatt,eesha.brahmbhatt@college.edu,Data_Science,176,BTech
STU00294,Oni Sekhon,oni.sekhon@college.edu,Electronics,145,BTech
STU00295,Rachana Shah,rachana.shah@college.edu,Aeronautical_Engineering,140,BTech
STU00296,Tristan Raghavan,tristan.raghavan@college.edu,Aeronautical_Engineering,286,BTech
STU00297,Maya Khare,maya.khare@college.edu,Aeronautical_Engineering,163,MTech
STU00298,Udyati Brahmbhatt,udyati.brahmbhatt@college.edu,Electronics,70,BTech
STU00299,Yash Krish,yash.krish@college.edu,Computer_Science,75,BTech
STU00300,Owen Mall,owen.mall@college.edu,Computer_Science,71,BTech
STU00301,Abdul Ahluwalia,abdul.ahluwalia@college.edu,Cyber_Security,192,BTech
STU00302,Dalbir Bhandari,dalbir.bhandari@college.edu,Mechanical,68,BTech
STU00303,Rohan Parmar,rohan.parmar@college.edu,Computer_Science,60,BTech
STU00304,William Vala,william.vala@college.edu,AI_ML,40,BTech
STU00305,Dalaja Chadha,dalaja.chadha@college.edu,AI_ML,47,BTech
STU00306,Kabir Baral,kabir.baral@college.edu,Computer_Science,68,BTech
STU00307,Jhalak Mitter,jhalak.mitter@college.edu,Civil_Engineering,119,MTech
STU00308,Yashodhara Nori,yashodhara.nori@college.edu,Aeronautical_Engineering,131,BTech
STU00309,Nihal Sachdeva,nihal.sachdeva@college.edu,Computer_Science,164,BTech
STU00310,Champak Mitter,champak.mitter@college.edu,Civil_Engineering,173,BTech
STU00311,Ekavir Nagi,ekavir.nagi@college.edu,Civil_Engineering,33,BTech
STU00312,Divya Thaker,divya.thaker@college.edu,Electronics,158,BTech
STU00313,Jeet Dhar,jeet.dhar@college.edu,Cyber_Security,34,BTech
STU00314,Darsh Bhatti,darsh.bhatti@college.edu,Mechanical,210,BTech
STU00315,Ria Balasubramanian,ria.balasubramanian@college.edu,Cyber_Security,146,BTech
STU00316,Jatin Vig,jatin.vig@college.edu,Civil_Engineering,132,MTech
STU00317,Bishakha Manda,bishakha.manda@college.edu,Computer_Science,60,BTech
STU00318,Darpan Murthy,darpan.murthy@college.edu,Data_Science,251,BTech
STU00319,Kai Dey,kai.dey@college.edu,IT,111,BTech
STU00320,Ekansh Menon,ekansh.menon@college.edu,Civil_Engineering,79,BTech
STU00321,Neel Ghosh,neel.ghosh@college.edu,Data_Science,129,BTech
STU00322,Gunbir Badami,gunbir.badami@college.edu,Cyber_Security,144,MTech
STU00323,Jacob Batta,jacob.batta@college.edu,Cyber_Security,155,BTech
STU00324,Simon Hayre,simon.hayre@college.edu,Civil_Engineering,248,MTech
STU00325,Anya Chaudry,anya.chaudry@college.edu,Aeronautical_Engineering,106,BTech
STU00326,Lila Bhandari,lila.bhandari@college.edu,Cyber_Security,70,BTech
STU00327,Abeer Dash,abeer.dash@college.edu,IT,232,BTech
STU00328,Ati Grewal,ati.grewal@college.edu,Mechanical,113,BTech
STU00329,Oliver Saxena,oliver.saxena@college.edu,Civil_Engineering,252,BTech
STU00330,Parth Samra,parth.samra@college.edu,Electronics,55,MTech
STU00331,Liam Bhagat,liam.bhagat@college.edu,AI_ML,297,BTech
STU00332,Yashodhara Bali,yashodhara.bali@college.edu,IT,88,BTech
STU00333,Kritika Sundaram,kritika.sundaram@college.edu,Aeronautical_Engineering,93,BTech
STU00334,Vivaan Soni,vivaan.soni@college.edu,Computer_Science,117,BTech
STU00335,Balvan Shankar,balvan.shankar@college.edu,Computer_Science,163,BTech
STU00336,Zayyan Hegde,zayyan.hegde@college.edu,Computer_Science,162,BTech
STU00337,Tarak Patla,tarak.patla@college.edu,Electronics,269,BTech
STU00338,Ranveer Warrior,ranveer.warrior@college.edu,Mechanical,178,BTech
STU00339,Aarnav Manne,aarnav.manne@college.edu,Aeronautical_Engineering,133,BTech
STU00340,Lajita Chauhan,lajita.chauhan@college.edu,Civil_Engineering,132,BTech
STU00341,Bishakha More,bishakha.more@college.edu,AI_ML,33,BTech
STU00342,Yochana Pai,yochana.pai@college.edu,Aeronautical_Engineering,162,BTech
